circuitId,year,circuitRef,name,location,country,lat,long,url
97,2015,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
98,2015,americas,Circuit of the Americas,Austin,USA,30.1328,,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
99,2015,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
100,2015,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
101,2015,hungaroring,Hungaroring,Budapest,Hungary,47.5789,,http://en.wikipedia.org/wiki/Hungaroring
102,2015,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
103,2015,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
104,2015,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,,http://en.wikipedia.org/wiki/Circuit_de_Monaco
105,2015,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
106,2015,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,,http://en.wikipedia.org/wiki/Red_Bull_Ring
107,2015,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
108,2015,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,,http://en.wikipedia.org/wiki/Sepang_International_Circuit
109,2015,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
110,2015,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,,http://en.wikipedia.org/wiki/Silverstone_Circuit
111,2015,sochi,Sochi Autodrom,Sochi,Russia,43.4057,,http://en.wikipedia.org/wiki/Sochi_Autodrom
112,2015,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
113,2015,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,,http://en.wikipedia.org/wiki/Suzuka_Circuit
114,2015,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
115,2015,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
116,2016,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
117,2016,americas,Circuit of the Americas,Austin,USA,30.1328,,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
118,2016,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
119,2016,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,,http://en.wikipedia.org/wiki/Baku_City_Circuit
120,2016,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
121,2016,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,,http://en.wikipedia.org/wiki/Hockenheimring
122,2016,hungaroring,Hungaroring,Budapest,Hungary,47.5789,,http://en.wikipedia.org/wiki/Hungaroring
123,2016,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
124,2016,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
125,2016,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,,http://en.wikipedia.org/wiki/Circuit_de_Monaco
126,2016,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
127,2016,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,,http://en.wikipedia.org/wiki/Red_Bull_Ring
128,2016,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
129,2016,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,,http://en.wikipedia.org/wiki/Sepang_International_Circuit
130,2016,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
131,2016,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,,http://en.wikipedia.org/wiki/Silverstone_Circuit
132,2016,sochi,Sochi Autodrom,Sochi,Russia,43.4057,,http://en.wikipedia.org/wiki/Sochi_Autodrom
133,2016,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
134,2016,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,,http://en.wikipedia.org/wiki/Suzuka_Circuit
135,2016,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
136,2016,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
