constructorStandingsId,year,round,constructorId,points,position,positionText,wins
652,2012,17,force_india,93,7,7,0
653,2012,17,williams,59,8,8,1
654,2012,17,toro_rosso,21,9,9,0
655,2012,17,marussia,0,10,10,0
656,2012,17,caterham,0,11,11,0
657,2012,17,hrt,0,12,12,0
658,2012,18,red_bull,422,1,1,7
659,2012,18,ferrari,340,2,2,3
660,2012,18,mclaren,318,3,3,5
661,2012,18,lotus_f1,288,4,4,1
662,2012,18,mercedes,136,5,5,1
663,2012,18,sauber,124,6,6,0
664,2012,18,force_india,95,7,7,0
665,2012,18,williams,73,8,8,1
666,2012,18,toro_rosso,22,9,9,0
667,2012,18,marussia,0,10,10,0
668,2012,18,caterham,0,11,11,0
669,2012,18,hrt,0,12,12,0
670,2012,19,red_bull,440,1,1,7
671,2012,19,ferrari,367,2,2,3
672,2012,19,mclaren,353,3,3,6
673,2012,19,lotus_f1,302,4,4,1
674,2012,19,mercedes,136,5,5,1
675,2012,19,sauber,124,6,6,0
676,2012,19,force_india,99,7,7,0
677,2012,19,williams,76,8,8,1
678,2012,19,toro_rosso,22,9,9,0
679,2012,19,marussia,0,10,10,0
680,2012,19,caterham,0,11,11,0
681,2012,19,hrt,0,12,12,0
682,2012,20,red_bull,460,1,1,7
683,2012,20,ferrari,400,2,2,3
684,2012,20,mclaren,378,3,3,7
685,2012,20,lotus_f1,303,4,4,1
686,2012,20,mercedes,142,5,5,1
687,2012,20,sauber,126,6,6,0
688,2012,20,force_india,109,7,7,0
689,2012,20,williams,76,8,8,1
690,2012,20,toro_rosso,26,9,9,0
691,2012,20,caterham,0,10,10,0
692,2012,20,marussia,0,11,11,0
693,2012,20,hrt,0,12,12,0
694,2013,1,ferrari,30,1,1,0
695,2013,1,lotus_f1,26,2,2,1
696,2013,1,red_bull,23,3,3,0
697,2013,1,mercedes,10,4,4,0
698,2013,1,force_india,10,5,5,0
699,2013,1,mclaren,2,6,6,0
700,2013,1,toro_rosso,0,7,7,0
701,2013,1,sauber,0,8,8,0
702,2013,1,williams,0,9,9,0
703,2013,1,marussia,0,10,10,0
